TV,radio,newspaper,sales
230.1,37.8,69.2,2210
44.5,39.3,45.1,1040
17.2,45.9,69.3,930
151.5,41.3,58.5,1850
180.8,10.8,58.4,1290
8.7,48.9,75,720
57.5,32.8,23.5,1180
120.2,19.6,11.6,1320
8.6,2.1,1,480
199.8,2.6,21.2,1060
66.1,5.8,24.2,860
214.7,24,4,1740
23.8,35.1,65.9,920
97.5,7.6,7.2,970
204.1,32.9,46,1900
195.4,47.7,52.9,2240
67.8,36.6,114,1250
281.4,39.6,55.8,2440
69.2,20.5,18.3,1130
147.3,23.9,19.1,1460
218.4,27.7,53.4,1800
237.4,5.1,23.5,1250
13.2,15.9,49.6,560
228.3,16.9,26.2,1550
62.3,12.6,18.3,970
262.9,3.5,19.5,1200
142.9,29.3,12.6,1500
240.1,16.7,22.9,1590
248.8,27.1,22.9,1890
70.6,16,40.8,1050
292.9,28.3,43.2,2140
112.9,17.4,38.6,1190
97.2,1.5,30,960
265.6,20,0.3,1740
95.7,1.4,7.4,950
290.7,4.1,8.5,1280
266.9,43.8,5,2540
74.7,49.4,45.7,1470
43.1,26.7,35.1,1010
228,37.7,32,2150
202.5,22.3,31.6,1660
177,33.4,38.7,1710
293.6,27.7,1.8,2070
206.9,8.4,26.4,1290
25.1,25.7,43.3,850
175.1,22.5,31.5,1490
89.7,9.9,35.7,1060
239.9,41.5,18.5,2320
227.2,15.8,49.9,1480
66.9,11.7,36.8,970
199.8,3.1,34.6,1140
100.4,9.6,3.6,1070
216.4,41.7,39.6,2260
182.6,46.2,58.7,2120
262.7,28.8,15.9,2020
198.9,49.4,60,2370
7.3,28.1,41.4,550
136.2,19.2,16.6,1320
210.8,49.6,37.7,2380
210.7,29.5,9.3,1840
53.5,2,21.4,810
261.3,42.7,54.7,2420
239.3,15.5,27.3,1570
102.7,29.6,8.4,1400
131.1,42.8,28.9,1800
69,9.3,0.9,930
31.5,24.6,2.2,950
139.3,14.5,10.2,1340
237.4,27.5,11,1890
216.8,43.9,27.2,2230
199.1,30.6,38.7,1830
109.8,14.3,31.7,1240
26.8,33,19.3,880
129.4,5.7,31.3,1100
213.4,24.6,13.1,1700
16.9,43.7,89.4,870
27.5,1.6,20.7,690
120.5,28.5,14.2,1420
5.4,29.9,9.4,530
116,7.7,23.1,1100
76.4,26.7,22.3,1180
239.8,4.1,36.9,1230
75.3,20.3,32.5,1130
68.4,44.5,35.6,1360
213.5,43,33.8,2170
193.2,18.4,65.7,1520
76.3,27.5,16,1200
110.7,40.6,63.2,1600
88.3,25.5,73.4,1290
109.8,47.8,51.4,1670
134.3,4.9,9.3,1120
28.6,1.5,33,730
217.7,33.5,59,1940
250.9,36.5,72.3,2220
107.4,14,10.9,1150
163.3,31.6,52.9,1690
197.6,3.5,5.9,1170
184.9,21,22,1550
289.7,42.3,51.2,2540
135.2,41.7,45.9,1720
222.4,4.3,49.8,1170
296.4,36.3,100.9,2380
280.2,10.1,21.4,1480
187.9,17.2,17.9,1470
238.2,34.3,5.3,2070
137.9,46.4,59,1920
25,11,29.7,720
90.4,0.3,23.2,870
13.1,0.4,25.6,530
255.4,26.9,5.5,1980
225.8,8.2,56.5,1340
241.7,38,23.2,2180
175.7,15.4,2.4,1410
209.6,20.6,10.7,1590
78.2,46.8,34.5,1460
75.1,35,52.7,1260
139.2,14.3,25.6,1220
76.4,0.8,14.8,940
125.7,36.9,79.2,1590
19.4,16,22.3,660
141.3,26.8,46.2,1550
18.8,21.7,50.4,700
224,2.4,15.6,1160
123.1,34.6,12.4,1520
229.5,32.3,74.2,1970
87.2,11.8,25.9,1060
7.8,38.9,50.6,660
80.2,0,9.2,880
220.3,49,3.2,2470
59.6,12,43.1,970
0.7,39.6,8.7,160
265.2,2.9,43,1270
8.4,27.2,2.1,570
219.8,33.5,45.1,1960
36.9,38.6,65.6,1080
48.3,47,8.5,1160
25.6,39,9.3,950
273.7,28.9,59.7,2080
43,25.9,20.5,960
184.9,43.9,1.7,2070
73.4,17,12.9,1090
193.7,35.4,75.6,1920
220.5,33.2,37.9,2010
104.6,5.7,34.4,1040
96.2,14.8,38.9,1140
140.3,1.9,9,1030
240.1,7.3,8.7,1320
243.2,49,44.3,2540
38,40.3,11.9,1090
44.7,25.8,20.6,1010
280.7,13.9,37,1610
121,8.4,48.7,1160
197.6,23.3,14.2,1660
171.3,39.7,37.7,1900
187.8,21.1,9.5,1560
4.1,11.6,5.7,320
93.9,43.5,50.5,1530
149.8,1.3,24.3,1010
11.7,36.9,45.2,730
131.7,18.4,34.6,1290
172.5,18.1,30.7,1440
85.7,35.8,49.3,1330
188.4,18.1,25.6,1490
163.5,36.8,7.4,1800
117.2,14.7,5.4,1190
234.5,3.4,84.8,1190
17.9,37.6,21.6,800
206.8,5.2,19.4,1220
215.4,23.6,57.6,1710
284.3,10.6,6.4,1500
50,11.6,18.4,840
164.5,20.9,47.4,1450
19.6,20.1,17,760
168.4,7.1,12.8,1170
222.4,3.4,13.1,1150
276.9,48.9,41.8,2700
248.4,30.2,20.3,2020
170.2,7.8,35.2,1170
276.7,2.3,23.7,1180
165.6,10,17.6,1260
156.6,2.6,8.3,1050
218.5,5.4,27.4,1220
56.2,5.7,29.7,870
287.6,43,71.8,2620
253.8,21.3,30,1760
205,45.1,19.6,2260
139.5,2.1,26.6,1030
191.1,28.7,18.2,1730
286,13.9,3.7,1590
18.7,12.1,23.4,670
39.5,41.1,5.8,1080
75.5,10.8,6,990
17.2,4.1,31.6,590
166.8,42,3.6,1960
149.7,35.6,6,1730
38.2,3.7,13.8,760
94.2,4.9,8.1,970
177,9.3,6.4,1280
283.6,42,66.2,2550
232.1,8.6,8.7,1340
